iupac,smiles,expt,calc
methanesulfonyl chloride,CS(=O)(=O)Cl,-4.87,-6.219
3-methylbut-1-ene,CC(C)C=C,1.83,2.452
heptan-1-ol,CCCCCCCO,-4.21,-2.917
"2,3-dimethylbutane",CC(C)C(C)C,2.34,2.468
2-methylpentan-2-ol,CCCC(C)(C)O,-3.92,-2.779
butan-2-ol,CC[C@H](C)O,-4.62,-3.145
dibromomethane,C(Br)Br,-1.96,-0.405
2-methylpentan-3-ol,CC[C@H](C(C)C)O,-3.88,-2.416
ethyl pentanoate,CCCCC(=O)OCC,-2.49,-3.11
"(2Z)-3,7-dimethylocta-2,6-dien-1-ol",CC(=CCC/C(=C\CO)/C)C,-4.78,-2.597
"2,2-dimethylpentane",CCCC(C)(C)C,2.88,2.686
2-acetoxyethyl acetate,CC(=O)OCCOC(=O)C,-6.34,-8.292
ethion,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1,-10.644
pentanenitrile,CCCCC#N,-3.52,-2.147
2-methylpropan-2-ol,CC(C)(C)O,-4.47,-3.288
"2,4-dimethylpentan-3-one",CC(C)C(=O)C(C)C,-2.74,-2.629
propanal,CCC=O,-3.43,-3.148
"N,N-dimethylformamide",CN(C)C=O,-7.81,-6.932
"penta-1,4-diene",C=CCC=C,0.93,2.357
N-ethylethanamine,CCNCC,-4.07,-2.986
isopentyl formate,CC(C)CCOC=O,-2.13,-3.414
decan-1-ol,CCCCCCCCCCO,-3.64,-2.446
ethyl propanoate,CCC(=O)OCC,-2.68,-3.221
nonane,CCCCCCCCC,3.13,3.221
N-methylacetamide,CC(=O)NC,-10.0,-8.276
non-1-ene,CCCCCCCC=C,2.06,2.995
"(2R,3R,4R,5R)-Hexan-1,2,3,4,5,6-hexol",C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62,-18.162
methyl butanoate,CCCC(=O)OC,-2.83,-3.552
N-propylpropan-1-amine,CCCNCCC,-3.65,-2.233
tetrafluoromethane,C(F)(F)(F)F,3.12,2.489
2-methylbutan-1-ol,CC[C@@H](C)CO,-4.42,-2.995
but-1-yne,CCC#C,-0.16,0.284
hydrazine,NN,-9.3,-6.508
octan-1-amine,CCCCCCCCN,-3.65,-2.589
ammonia,N,-4.29,-4.018
"1,1-difluoroethane",CC(F)F,-0.11,0.226
butadiene,C=CC=C,0.56,1.955
"N,N-dimethylmethanamine",CN(C)C,-3.2,-2.636
hexanamide,CCCCCC(=O)N,-9.31,-8.103
isobutyl nitrate,CC(C)CO[N+](=O)[O-],-1.88,-1.835
2-(nitrooxy)ethan-1-ol,C(CO[N+](=O)[O-])O,-8.18,-6.676
octan-2-one,CCCCCCC(=O)C,-2.88,-2.758
ethanamine,CCN,-4.5,-3.156
"1,1-dichloroethane",CC(Cl)Cl,-0.84,0.187
1-bromooctane,CCCCCCCCBr,0.52,1.352
n-butane,CCCC,2.1,2.588
chloromethane,CCl,-0.55,0.764
1-bromo-2-methyl-propane,CC(C)CBr,-0.03,0.756
2-isopropylsulfanylpropane,CC(C)SC(C)C,-1.21,0.14
heptane,CCCCCCC,2.67,2.925
diiodomethane,C(I)I,-2.49,-1.882
"N,N-dipropyl(propylsulfanyl)formamide",CCCN(CCC)C(=O)SCCC,-4.13,-4.569
nitromethane,C[N+](=O)[O-],-4.02,-2.075
methoxyethane,CCOC,-2.1,-0.71
"2-chloro-1,1,1-trimethoxy-ethane",COC(CCl)(OC)OC,-4.59,-3.638
isobutane,CC(C)C,2.3,2.535
3-methylbutanoic acid,CC(C)CC(=O)O,-6.09,-8.844
1-chloropropane,CCCCl,-0.33,0.973
1-propylsulfanylpropane,CCCSCCC,-1.28,0.64
hexan-3-ol,CCC[C@H](CC)O,-4.06,-2.585
acetonitrile,CC#N,-3.88,-2.789
"2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane",[C@@H](C(F)(F)F)(OC(F)F)Cl,0.1,-1.156
"hexa-1,5-diene",C=CCCC=C,1.01,2.487
methyl acetate,CC(=O)OC,-3.13,-3.83
propanethiol,CCCS,-1.1,-0.182
heptan-2-one,CCCCCC(=O)C,-3.04,-2.945
ethyl hexanoate,CCCCCC(=O)OCC,-2.23,-2.929
1-methoxypropane,CCCOC,-1.66,-0.598
N-methylmethanamine,CNC,-4.29,-2.991
"1,1,2,3,3,3-hexafluoroprop-1-ene",C(=C(F)F)(C(F)(F)F)F,2.93,2.305
iodomethane,CI,-0.89,-0.641
"(E)-1,2-dichloroethylene",C(=C/Cl)\Cl,-0.78,1.024
n-pentane,CCCCC,2.3,2.673
butanenitrile,CCCC#N,-3.64,-2.287
"2-bromo-1,1,1,2-tetrafluoro-ethane",[C@@H](C(F)(F)F)(F)Br,0.5,0.234
[(2S)-butan-2-yl] nitrate,CC[C@H](C)O[N+](=O)[O-],-1.82,-1.864
"2,3-dimethylpentane",CC[C@@H](C)C(C)C,2.52,2.625
4-methylpentan-2-ol,C[C@H](CC(C)C)O,-3.73,-2.907
"1,1-dichloroethylene",C=C(Cl)Cl,0.25,1.108
2-methylpropan-1-ol,CC(C)CO,-4.5,-3.13
propyl propanoate,CCCOC(=O)CC,-2.44,-2.453
hexachloroethane,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-0.64,0.885
2-chloro-2-methyl-propane,CC(C)(C)Cl,1.09,0.826
isoprene,CC(=C)C=C,0.68,1.824
ethylene glycol,C(CO)O,-9.3,-7.266
propyl formate,CCCOC=O,-2.48,-3.699
hexanoic acid,CCCCCC(=O)O,-6.21,-7.878
diethyl butanedioate,CCOC(=O)CCC(=O)OCC,-5.71,-8.683
methyl 2-chloroacetate,COC(=O)CCl,-4.0,-3.816
butanal,CCCC=O,-3.18,-3.044
"1,1,2-trichloroethylene",C(=C(Cl)Cl)Cl,-0.44,0.818
"N,N-diethylethanamine",CCN(CC)CC,-3.22,-1.955
3-chloroprop-1-ene,C=CCCl,-0.57,0.944
formaldehyde,C=O,-2.75,-3.155
"1,1,1-trimethoxyethane",CC(OC)(OC)OC,-4.42,-3.7
2-methoxypropane,CC(C)OC,-2.01,-0.657
"1,1,2-trichloroethane",C(C(Cl)Cl)Cl,-1.99,-0.384
isopropyl acetate,CC(C)OC(=O)C,-2.64,-3.371
"2,3-dimethylbuta-1,3-diene",CC(=C)C(=C)C,0.4,1.862
hex-1-ene,CCCCC=C,1.58,2.628
hydrogen sulfide,S,-0.7,-1.135
ethoxyethane,CCOCC,-1.59,-0.617
hexyl acetate,CCCCCCOC(=O)C,-2.26,-2.219
pentanoic acid,CCCCC(=O)O,-6.16,-9.053
bromoethane,CCBr,-0.74,0.487
hexan-1-ol,CCCCCCO,-4.4,-3.0
hexyl nitrate,CCCCCCO[N+](=O)[O-],-1.66,-1.596
bromoform,C(Br)(Br)Br,-2.13,-0.531
2-propoxyethanol,CCCOCCO,-6.4,-3.94
butyric acid,CCCC(=O)O,-6.35,-9.434
"1,1,1-trifluoro-2,2,2-trimethoxyethane",COC(C(F)(F)F)(OC)OC,-0.8,-2.319
bromo-trifluoro-methane,C(F)(F)(F)Br,1.79,1.564
butan-1-ol,CCCCO,-4.72,-3.232
ethyl acetate,CCOC(=O)C,-2.94,-3.745
isobutyl 2-methylpropanoate,CC(C)COC(=O)C(C)C,-1.69,-2.58
2-methoxy-2-methyl-propane,CC(C)(C)OC,-2.21,-0.691
pentan-3-one,CCC(=O)CC,-3.41,-3.05
"methyl 2,2,2-trifluoroacetate",COC(=O)C(F)(F)F,-1.1,-1.353
"3,3-dimethylbutan-2-one",CC(=O)C(C)(C)C,-3.11,-3.234
methyl methanesulfonate,COS(=O)(=O)C,-4.87,-8.824
N-isopropylpropan-2-amine,CC(C)NC(C)C,-3.22,-1.985
heptan-1-amine,CCCCCCCN,-3.79,-2.554
propane,CCC,2.0,2.495
dichloromethane,C(Cl)Cl,-1.31,0.038
"methyl 2,2-dimethylpropanoate",CC(C)(C)C(=O)OC,-2.4,-3.304
trichloro(nitro)methane,C([N+](=O)[O-])(Cl)(Cl)Cl,-1.45,-0.379
nonan-2-one,CCCCCCCC(=O)C,-2.49,-2.563
butan-1-amine,CCCCN,-4.24,-2.961
ethyl butanoate,CCCC(=O)OCC,-2.49,-3.381
1-iodohexane,CCCCCCI,0.08,0.043
"1,1,2-trichloro-1,2,2-trifluoro-ethane",C(C(F)(Cl)Cl)(F)(F)Cl,1.77,1.691
trimethyl phosphate,COP(=O)(OC)OC,-8.7,-10.642
isohexane,CCCC(C)C,2.51,2.808
"2-chloro-1,1,1-trifluoro-ethane",C(C(F)(F)F)Cl,0.06,0.233
ethylene,C=C,1.28,2.328
1-iodopentane,CCCCCI,-0.14,-0.111
trimethoxymethane,COC(OC)OC,-4.42,-4.625
decane,CCCCCCCCCC,3.16,3.335
"1,2-dinitroxypropane",C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],-4.95,-5.646
prop-1-ene,CC=C,1.32,2.328
"(1R)-2,2,2-trichloro-1-dimethoxyphosphoryl-ethanol",COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC,-12.74,-13.424
"(2E)-3,7-dimethylocta-2,6-dien-1-ol",CC(=CCC/C(=C/CO)/C)C,-4.45,-2.518
"2,3,4-trimethylpentane",CC(C)C(C)C(C)C,2.56,2.674
3-methylbutan-2-one,CC(C)C(=O)C,-3.24,-3.078
N-butylbutan-1-amine,CCCCNCCCC,-3.24,-2.076
butane-1-thiol,CCCCS,-0.99,-0.174
chloro-difluoro-methane,C(F)(F)Cl,-0.5,-0.067
prop-1-yne,CC#C,-0.48,0.065
nonanal,CCCCCCCCC=O,-2.07,-2.336
propionic acid,CCC(=O)O,-6.46,-9.088
chloroform,C(Cl)(Cl)Cl,-1.08,0.285
methane,C,2.0,2.446
1-chlorobutane,CCCCCl,-0.16,0.993
isobutyl formate,CC(C)COC=O,-2.22,-3.458
"1,2-diethoxyethane",CCOCCOCC,-3.54,-3.42
pentyl propanoate,CCCCCOC(=O)CC,-2.11,-2.176
2-methylbut-2-ene,CC=C(C)C,1.31,2.272
"1,2-dichloroethane",C(CCl)Cl,-1.79,-0.363
"3,3-dimethylpentane",CCC(C)(C)CC,2.56,2.593
"2,2-dichloro-1,1-difluoro-1-methoxy-ethane",COC(C(Cl)Cl)(F)F,-1.12,-0.685
2-ethoxyethyl acetate,CCOCCOC(=O)C,-5.31,-5.751
2-methylbutan-2-ol,CCC(C)(C)O,-4.43,-2.933
dimethoxymethane,COCOC,-2.93,-3.221
pentan-3-ol,CCC(CC)O,-4.35,-2.786
undecan-2-one,CCCCCCCCCC(=O)C,-2.15,-2.201
1-bromo-2-chloro-ethane,C(CBr)Cl,-1.95,-0.8
iodoethane,CCI,-0.74,-0.609
2-bromopropane,CC(C)Br,-0.48,0.448
methylsulfonylmethane,CS(=O)(=O)C,-10.08,-10.559
pent-2-ene,CC/C=C\C,1.31,2.374
ethane,CC,1.83,2.465
ethylsulfanylethane,CCSCC,-1.46,0.299
chloro-fluoro-methane,C(F)Cl,-0.77,-0.171
pent-1-ene,CCCC=C,1.68,2.532
hept-1-yne,CCCCCC#C,0.6,0.639
decan-2-one,CCCCCCCCC(=O)C,-2.34,-2.573
pentanal,CCCCC=O,-3.03,-2.927
1-nitrobutane,CCCC[N+](=O)[O-],-3.09,-1.449
1-chloro-2-(2-chloroethoxy)ethane,C(CCl)OCCCl,-4.23,-2.248
1-nitroethane,CC[N+](=O)[O-],-3.71,-1.839
bromomethane,CBr,-0.82,0.46
methanol,CO,-5.1,-3.491
heptanal,CCCCCCC=O,-2.67,-2.704
octanal,CCCCCCCC=O,-2.29,-2.57
fluoromethane,CF,-0.22,0.881
methylsulfinylmethane,CS(=O)C,-9.28,-8.243
1-bromobutane,CCCCBr,-0.4,0.705
nonan-1-ol,CCCCCCCCCO,-3.88,-2.564
"1,1,2,2-tetrachloroethylene",C(=C(Cl)Cl)(Cl)Cl,0.1,1.328
2-bromo-2-methyl-propane,CC(C)(C)Br,0.84,0.438
"1,1,1,2-tetramethoxyethane",COCC(OC)(OC)OC,-5.73,-5.436
acetamide,CC(=O)N,-9.71,-8.82
dimethyl sulfate,COS(=O)(=O)OC,-5.1,-8.411
"1,1,2,2-tetrachloroethane",C(C(Cl)Cl)(Cl)Cl,-2.37,-0.534
1-bromohexane,CCCCCCBr,0.18,1.076
1-bromoheptane,CCCCCCCBr,0.34,1.223
"3,3,3-trimethoxypropanenitrile",COC(CC#N)(OC)OC,-6.4,-5.859
2-chlorobutane,CC[C@H](C)Cl,0.0,0.927
diethyl propanedioate,CCOC(=O)CC(=O)OCC,-6.0,-6.716
methylsulfanylmethane,CSC,-1.61,0.44
methyl pentanoate,CCCCC(=O)OC,-2.56,-3.492
2-methylpent-1-ene,CCCC(=C)C,1.47,2.486
chloroethylene,C=CCl,-0.59,1.162
heptan-4-one,CCCC(=O)CCC,-2.92,-2.704
propyl butanoate,CCCC(=O)OCCC,-2.28,-2.754
2-ethoxyethanol,CCOCCO,-6.69,-4.407
3-methylpentane,CCC(C)CC,2.51,2.613
1-nitropropane,CCC[N+](=O)[O-],-3.34,-1.632
ethanol,CCO,-5.0,-3.394
ethyl formate,CCOC=O,-2.56,-3.867
octan-1-ol,CCCCCCCCO,-4.09,-2.69
but-1-ene,CCC=C,1.38,2.367
carbon tetrachloride,C(Cl)(Cl)(Cl)Cl,0.08,1.185
methyldisulfanylmethane,CSSC,-1.83,-0.093
"2,3-diacetoxypropyl acetate",CC(=O)OCC(COC(=O)C)OC(=O)C,-8.84,-12.333
methoxymethane,COC,-1.91,-0.853
hexane,CCCCCC,2.48,2.851
"1,2-dibromoethane",C(CBr)Br,-2.33,-1.275
"1,1,1,2,2-pentachloroethane",C(C(Cl)(Cl)Cl)(Cl)Cl,-1.23,0.059
propyl acetate,CCCOC(=O)C,-2.79,-3.486
ethanethiol,CCS,-1.14,-0.395
ethyldisulfanylethane,CCSSCC,-1.64,-0.979
pentan-2-one,CCCC(=O)C,-3.52,-3.166
acetic acid,CC(=O)O,-6.69,-7.281
acetaldehyde,CC=O,-3.5,-3.372
hex-1-yne,CCCCC#C,0.29,0.553
propanenitrile,CCC#N,-3.84,-2.491
butyl acetate,CCCCOC(=O)C,-2.64,-3.406
aldicarb,CC(C)(/C=N\OC(=O)NC)SC,-9.84,-9.679
2-methylpropanal,CC(C)C=O,-2.86,-2.968
propionamide,CCC(=O)N,-9.4,-8.31
1-bromopropane,CCCBr,-0.56,0.579
2-chloropropane,CC(C)Cl,-0.25,0.833
"1,3-dichloropropane",C(CCl)CCl,-1.89,-0.416
"1,2-dichloropropane",C[C@@H](CCl)Cl,-1.27,-0.265
diethoxy-(ethylsulfanylmethylsulfanyl)-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)SCSCC,-4.37,-6.427
acetone,CC(=O)C,-3.8,-3.506
2-methylprop-1-ene,CC(=C)C,1.16,2.327
1-nitropentane,CCCCC[N+](=O)[O-],-2.82,-1.325
(2E)-hex-2-enal,CCC/C=C/C=O,-3.68,-3.123
octane,CCCCCCCC,2.88,3.088
"(3R)-3,7-Dimethylocta-1,6-dien-3-yl acetate",CC(=CCC[C@](C)(C=C)OC(=O)C)C,-2.49,-2.964
"1,3-bis-(nitrooxy)butane",C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-4.29,-4.944
2-isopropoxypropane,CC(C)OC(C)C,-0.53,-0.178
2-methylhexane,CCCCC(C)C,2.93,2.894
"2-bromo-2-chloro-1,1,1-trifluoro-ethane",[C@@H](C(F)(F)F)(Cl)Br,-0.11,0.206
1-butoxybutane,CCCCOCCCC,-0.83,0.139
"2,4-dimethylpentane",CC(C)CC(C)C,2.83,2.756
but-2-enal,C/C=C/C=O,-4.22,-3.341
3-methylhexane,CCC[C@H](C)CC,2.71,2.81
"1,2-dimethoxyethane",COCCOC,-4.84,-3.103
isopentyl acetate,CC(C)CCOC(=O)C,-2.21,-3.067
1-chlorohexane,CCCCCCCl,0.0,1.261
4-methylpentan-2-one,CC(C)CC(=O)C,-3.05,-3.116
hexanal,CCCCCC=O,-2.81,-2.86
"1,1-diethoxyethane",CCOC(C)OCC,-3.28,-1.795
methanethiol,CS,-1.2,-0.273
prop-2-en-1-ol,C=CCO,-5.03,-3.286
methylsulfanylethane,CCSC,-1.5,0.386
pentyl acetate,CCCCCOC(=O)C,-2.51,-2.565
chloroethane,CCCl,-0.63,0.775
3-methylbutan-1-ol,CC(C)CCO,-4.42,-3.237
pentan-1-amine,CCCCCN,-4.09,-2.835
"2,2,5-trimethylhexane",CC(C)CCC(C)(C)C,2.93,2.97
2-butoxyethanol,CCCCOCCO,-6.25,-3.85
2-nitropropane,CC(C)[N+](=O)[O-],-3.13,-1.741
glycerol,C(C(CO)O)O,-13.43,-10.14
1-iodopropane,CCCI,-0.53,-0.443
2-methoxyethanamine,COCCN,-6.55,-5.027
"1,1,1,2-tetrachloroethane",C(C(Cl)(Cl)Cl)Cl,-1.43,-0.091
methyl propanoate,CCC(=O)OC,-2.93,-3.652
2-methoxyethanol,COCCO,-6.619999999999999,-4.686
methyl formate,COC=O,-2.78,-4.028
"1,4-dichlorobutane",C(CCCl)CCl,-2.32,-0.404
nitroxyacetone,CC(=O)CO[N+](=O)[O-],-5.99,-5.362
methyl hexanoate,CCCCCC(=O)OC,-2.49,-3.299
"1,1,1-trifluoropropan-2-ol",C[C@@H](C(F)(F)F)O,-4.16,-3.518
1-bromo-pentane,CCCCCBr,-0.1,0.824
oct-1-ene,CCCCCCC=C,1.92,2.895
propan-2-ol,CC(C)O,-4.74,-3.427
hexan-1-amine,CCCCCCN,-3.95,-2.772
3-nitrooxypropyl nitrate,C(CO[N+](=O)[O-])CO[N+](=O)[O-],-4.8,-5.322
pentan-1-ol,CCCCCO,-4.57,-3.054
pentan-2-ol,CCC[C@@H](C)O,-4.39,-2.945
3-methylheptane,CCCC[C@@H](C)CC,2.97,3.03
