smiles,sr-are
CC(O)(P(=O)(O)O)P(=O)(O)O,0.0
OC[C@H](O)[C@@H](O)[C@H](O)CO,0.0
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],0.0
CC(C)COC(=O)C(C)C,0.0
C=C(C)C(=O)OCCOC(=O)C(=C)C,0.0
C#CCO,0.0
CC(O)CC(C)(C)O,0.0
CC(C)(C)CC(C)(C)N,0.0
CC(=O)CC(C)C,0.0
CCCC(C)=O,0.0
CCCCNC(=S)NCCCC,0.0
CCCCNC(=O)NCCCC,0.0
CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,0.0
CC/C=C\CCCCO,0.0
CC(=O)CCC(C)=O,0.0
N#CCCNCCC#N,0.0
O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],0.0
CC(C)CCCCCOC(=O)CCS,0.0
CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,0.0
CCCCCC(C)O,0.0
[I-].[K+],0.0
C/C=C/C=C/C=O,1.0
C[Si](C)(C)N[Si](C)(C)C,0.0
O=C(O)/C=C(\CC(=O)O)C(=O)O,0.0
O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,0.0
CCCCCCCCCCCCCC(=O)OC,0.0
CCCCCCC(C)O,0.0
CCC[Si](OC)(OC)OC,0.0
NCCNCCNCCN,0.0
CCCCCNCCCCC,0.0
COCC(C)O,0.0
ClCOCCl,0.0
CC(O)CNCC(C)O,0.0
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],0.0
O=C(O)CCCCCCCCC(=O)O,0.0
CCCCCCCC(=O)OC,0.0
CC(O)COCC(C)O,0.0
CO[Si](C)(C)OC,0.0
CCCCCCCCCC=O,0.0
BrCBr,0.0
CCCCCCCCCC(=O)O,0.0
O.O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mg+2],0.0
CCCCCCCCCOS(=O)(=O)[O-],0.0
CCC(Cl)CCl,0.0
C=CC(=O)OCCOC(=O)C=C,1.0
CCCC[P+](CCCC)(CCCC)CCCC,0.0
CCCCCCCCNC,0.0
C=CC(=C)C,0.0
CC(C)O,0.0
CCCC(CCC)C(=O)[O-],0.0
CC(C)C[P+](C)(CC(C)C)CC(C)C,0.0
O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,0.0
CC(C)CNCC(C)C,0.0
NC(=S)NNC(N)=S,0.0
CNC(=O)/C=C(\C)OP(=O)(OC)OC,0.0
CC=CC(=O)CC,0.0
O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-],1.0
O=P(Cl)(Cl)Cl,0.0
CC(N)CN,0.0
CCC(C)O,0.0
CC(O)CN,0.0
COC(=O)[C@@H](N)CCCN/C(N)=N/[N+](=O)[O-],0.0
C=C(C)C(=O)OCCNC(C)(C)C,0.0
O=C(O)[C@@H](S)[C@H](S)C(=O)O,1.0
CC(C)(N)CO,0.0
CC(C)(CO)CO,0.0
O=[N+]([O-])C(CO)(CO)CO,1.0
OCC(CO)(CO)COCC(CO)(CO)CO,0.0
O=[N+]([O-])OCCN(CCO[N+](=O)[O-])CCO[N+](=O)[O-],0.0
NC(CO)(CO)CO,0.0
CO[Si](CCCS)(OC)OC,0.0
C[N+](C)=CCl,0.0
COC(=O)CCC(=O)O,0.0
CN(C)C(=N)NC(=N)N,0.0
CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O,1.0
CC(C)=CCC[C@H](C)CCO,0.0
CC(C)CC(O)CC(C)C,0.0
C=C(C)C(=O)OCCOP(=O)(O)OCCOC(=O)C(=C)C,0.0
CC(C)OS(C)(=O)=O,0.0
C=C(C)OC(C)=O,0.0
CCCCOCCO,0.0
CCCN(CCC)C(=O)SCC,0.0
N#CCCC#N,0.0
CC(Cl)(Cl)C(=O)O,0.0
CC(=O)C(Cl)Cl,0.0
CCCCOCCOCCOCCO,0.0
CCCCCCCC/C=C/C(=O)[O-].CCCCCCCC/C=C/C(=O)[O-],0.0
CCOC(=O)CC(=O)OCC,0.0
CCCCCCCCCO,0.0
CCCCCCNCCCCCC,0.0
ClCCCCl,0.0
CCCCCCOC(C)=O,0.0
CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,0.0
CCOC(C)=O,0.0
NCCNCCN,0.0
CCOP(=O)(CC)OCC,0.0
NC(=O)CCCCC(N)=O,0.0
CNC(=O)ON=CC(C)(C)SC,0.0
NN,0.0
COC(C)(C)C,0.0
COC(N)=O,0.0
COC(=O)NN,0.0
CCCCCCCCCCCCCCCCCCOCC(O)CO,0.0
CSCCC=O,0.0
CC(C)(C)C(=O)Cl,0.0
CCCCC(CC)COC(=O)Cl,0.0
CCCCC(CC)C(=O)[O-],0.0
C/C=C/C=C/C(=O)[O-],0.0
CCCCCC=CCC(=O)OC,0.0
CCCCCCCCC(=O)OCC,0.0
CCCCCCCC#N,0.0
CCCCCCCCCCCCCC(=O)OCC,0.0
CCCCCCC(O)CCOC(C)=O,0.0
C=CCCCCCCCCO,0.0
CCCCCCCCCCCCCCCCN,0.0
CNC(=O)NC(O)C(Cl)(Cl)Cl,0.0
CC/C=C\CC/C=C/C(OCC)OCC,1.0
C[C@@H](O)C(=O)O,0.0
CCCCOCCOCCSC#N,0.0
BrCCCBr,0.0
CCCCCCCCCCCCCOS(=O)(=O)[O-],0.0
O=S(=O)([O-])[O-].[Na+].[Na+],0.0
CNCCO,0.0
COC=O,0.0
CC(CC=O)CCCC(C)(C)O,0.0
CC(C)COC(=O)CCCCC(=O)OCC(C)C,0.0
CCN(O)CC,0.0
C=CC(=O)NC(C)C,0.0
[O-][Cl+3]([O-])([O-])[O-],0.0
CCN(C)N=O,0.0
CCCCCO,0.0
CCCN(CCC)N=O,0.0
C[N+](C)(C)C,0.0
C=C(C)C(=O)OC(C)C,0.0
CCCC[N+](CCCC)(CCCC)CCCC,0.0
CC(=O)CC(=O)OC(C)(C)C,0.0
N=C(N)NN,0.0
ClCCCCCCCl,0.0
[Ba+2],0.0
C=CCCC,0.0
CCOC(=O)CP(=O)(OCC)OCC,0.0
O=C(O)COCC(=O)O,0.0
CCCCC,0.0
N#CC(C#N)=C(C#N)C#N,1.0
C[N+](C)(C)CC(=O)[O-],0.0
CN(CCO)CCO,0.0
C=CC(=O)NCNC(=O)C=C,1.0
CCCCS,0.0
CCCCCCCC(=O)OCC(O)CO,0.0
CCCCCCCCCCCCCC(=O)OCC(O)CO,0.0
C=CCN(CC=C)C(=O)C(Cl)Cl,0.0
CCCCCCCCCCCCCCCCO,1.0
C=CC(=O)OC,0.0
CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)OC,0.0
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.0
CCC(CO)(CO)COCC(CC)(CO)CO,0.0
C=C(C)C(=O)OCCCCOC(=O)C(=C)C,0.0
CCCCCCCCCCCC(=O)N(CC)CC,0.0
N#CCCOCCOCCC#N,0.0
C=CC(=O)OCCCCCCCCCC,0.0
CN(C)CCN(C)CCO,0.0
CCOP(=O)(OCC)OCC,0.0
CC(=O)OCCOCCOCCOC(C)=O,0.0
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0
NNCCO,0.0
CCOP(=S)(OCC)SCSCC,0.0
CCOCC(C)O,0.0
CN(C)CCCN,0.0
COC(C)OC,0.0
C=CC(=O)OCC,0.0
CC(C)N(CCO)C(C)C,0.0
CCC(C)=NO,0.0
CCC(=O)CC,0.0
CCCC(C)CC,0.0
C=C(C)C(=O)OCCN(C)C,0.0
CCCOCCO,0.0
COC(=O)CCS,0.0
N=C(N)NN.N=C(N)NN,0.0
CCCCCC/C=C/C(=O)OC,0.0
CCCCCCCC(=O)OCCCCCC,0.0
CCCCCCCC/C=C\CCCCCCCC(=O)OCC,0.0
O=C(O)CCCCCCC(=O)O,0.0
CCCCCCCCCCCCCBr,0.0
CCCCOC(O)CC,0.0
CCCCCCCCCCCCOS(=O)(=O)[O-],0.0
CCCCC(CC)COS(=O)(=O)[O-],0.0
CC(C)(CO)[C@@H](O)C(=O)NCCCO,0.0
C/C=C(\C)C(=O)OC/C=C(\C)CCC=C(C)C,0.0
CCCCCOC(=O)CCCC,0.0
CC(C)=CC(=O)O,0.0
CCCCCC(C)N.CCCCCC(C)N,0.0
CC=CC=CCOC(=O)C(C)C,1.0
CC/C=C\CCOC(C)OCC,0.0
COC(=O)C(Cl)C(=O)OC,1.0
CC(C)(C)N,0.0
NCCOCCO,0.0
C=CCCCCCCCCC=O,0.0
NCCOS(=O)(=O)O,0.0
[N-]=[N+]=CC(=O)OC[C@H](N)C(=O)O,0.0
COP(=O)(OC)OC=C(Cl)Cl,1.0
CC(Cl)CCl,0.0
CC(C)N(C)C,0.0
CN(C)CCCNCCCN,1.0
ClC=CCl,0.0
CCCCCCCC/C=C/CCCOC(C)=O,0.0
[TlH2+],0.0
C=C(C)C(=O)OCCCCCCCCCCCCCCCCCC,0.0
CC(C)OP(C)(=O)OC(C)C,0.0
COS(=O)(=O)OC,0.0
CNC,0.0
CCCCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC,0.0
CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(C)C,0.0
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-],0.0
CCCCC(CC)CNC(=O)CC(C)OC(=O)CCC(=O)O,0.0
CC(=O)NC(CCC(N)=O)C(=O)O,0.0
CCCCCCCCP(=O)(O)O,0.0
COCCOCC(OC)OC,0.0
C=C(Cl)CCl,0.0
OC(CCl)CCl,0.0
Cl[Ba]Cl,0.0
O=C(O)CP(=O)(O)O,0.0
O=C([O-])CC(O)(CC(=O)O)C(=O)[O-],0.0
NCCCCCC(=O)O,0.0
CCNP(=S)(OC)O/C(C)=C/C(=O)OC(C)C,0.0
CC(C)=CCCC(C)=CC=O,0.0
ClC(Cl)Cl,0.0
COC(=O)CCSCCC(=O)OC,0.0
CC(=O)O[Si](C)(OC(C)=O)OC(C)=O,0.0
ClC(Br)Br,0.0
CC(C)(CCl)C(=O)Cl,0.0
NC(=O)NC(N)=O,0.0
CC(C)CC(C)O,0.0
C=COCCCCO,0.0
NCC(=O)O,0.0
CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,0.0
CC(C)COP(=O)(OCC(C)C)OCC(C)C,0.0
C=CCCCCCCCCCCCC,0.0
NC(=O)[O-],0.0
CC(C)(CO)COC(=O)C(C)(C)CO,0.0
NC(=O)N=NC(N)=O,0.0
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,0.0
CCOC(=O)CC(C)=O,0.0
CCCCC(CC)COC(=O)/C=C\C(=O)OCC(CC)CCCC,1.0
CC(C)(O)C#CC(C)(C)O,0.0
CC(=O)[O-].CC(=O)[O-].[Mg+2],0.0
O=C(O)CNCC(=O)O,0.0
ClC(Cl)(Cl)C(Cl)(Cl)Cl,0.0
C=CCCC(=O)O,0.0
CN=C=O,0.0
[Na]I,0.0
C[N+](C)(C)CC(=O)O,0.0
CCCC[N+](C)(CCCC)CCCC,0.0
BrCCCCCBr,0.0
O=CNNC=O,0.0
CCNC(=S)NCC,0.0
CCOC(=O)/C=C\C(=O)OCC,1.0
CCN(C=O)CC,0.0
OCCOCCO,0.0
CC(C)(C)S,0.0
CCCCCCCC/C=C\CCCCCCCC(=O)O,0.0
C=CCCCCCC,0.0
O=C([O-])CF,0.0
CCCCOCC(C)OCC(C)O,0.0
C=CC(=O)OCCOCC(CC)(COCCOC(=O)C=C)COCCOC(=O)C=C,1.0
C=CC(=O)OCCCCCC(C)C,0.0
Cl/C=C/Cl,0.0
OCC(Cl)CCl,0.0
CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,0.0
COC(OC)OC,0.0
CCCC(=O)OCCC(C)CCC=C(C)C,0.0
N[C@@H](CCC(=O)O)C(=O)O,0.0
CCCC(=O)OC/C=C(\C)CCC=C(C)C,0.0
CP(=O)([O-])OCCC[Si](O)(O)O,0.0
CCCCOC(=O)C(C)OC(=O)CCC,0.0
COC(C=C(C)CCC=C(C)C)OC,0.0
C=C[Si](OC(=C)C)(OC(=C)C)OC(=C)C,0.0
CCOC(=O)C(=O)CCCCCCl,0.0
CC(C)CCON=O,0.0
CNC(=O)CN(CCN(CCN(CC(=O)[O-])CC(=O)NC)CC(=O)[O-])CC(=O)[O-].[Gd+3],0.0
O=[Mo](=O)=O,0.0
CCOP(=S)(S)OCC,0.0
CCCCCCCC/C=C\CCCCCCCC(N)=O,0.0
CCCCOC(=O)CCCCC(=O)OCCCC,0.0
C[N+](C)(C)CCO,0.0
O=[Cr]O[Cr]=O,0.0
[Cr+3],0.0
CC=CC(=O)O,0.0
OCCCCCO,0.0
CCCCCCCCCCCC(=O)OCC(C)OC(=O)CCCCC(=O)O,0.0
COCCOCCOCCOC,0.0
C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.0
N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,0.0
C[C@@H](O)[C@H](N)C(=O)O,0.0
CCCCCCCCCCCCCCCC(=O)NCCO,0.0
CCCCCC#CC(=O)OC,0.0
C/C=C/C=C/C(=O)O,0.0
CCN(CC)C(=S)[S-],1.0
CCC(OCCCOC)OC(C)=O,0.0
C[Sn](C)(Cl)Cl,1.0
CCCCC(CC)C(=O)Cl,0.0
CCOCCC(=O)OCC,0.0
OCC(O)CCl,0.0
COC(C)(C)CCO,0.0
OCC(O)CO,0.0
CC(C)(C)C(=O)O,0.0
CC(C)(CO)[N+](=O)[O-],0.0
CCCCCCCCCCCCS,0.0
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,0.0
CC(=O)OCCOC(C)=O,0.0
CCCCCCCC,0.0
CCCCCCCCCCCC(=O)OC,0.0
N#C[S-],0.0
CC(N)=S,0.0
CCCCCCCCCCCCCCCCI,0.0
CCC(C)(C)CC,0.0
C=CCCC=C,0.0
CC(C)CC(C)(C)C,0.0
CCCSC(=O)N(CCC)CCC,0.0
ClC(Cl)(Br)Br,0.0
CCC(C)COC(=O)CC(C)C,0.0
CC=CC(=O)CCCC,0.0
CSCCCN=C=S,1.0
CC(C)(O)C#N,0.0
NO,0.0
[NH3+]O.[NH3+]O,0.0
NCCNCCO,0.0
CCOC(N)=O,0.0
NC(N)=O,0.0
CCCC[Sn](Cl)(Cl)Cl,1.0
CCCOCC(C)O,0.0
CCCCCCC(CO)CCCC,0.0
COC(C)CCO,0.0
CCCCOC(=O)CCCCCCCC(=O)OCCCC,0.0
C=CCBr,0.0
C=CCOC(=O)CCCCCCCC,0.0
C=CCNC(N)=S,0.0
CC(C)C(O)C(C)(C)CO,0.0
CC(=O)OCCC(C)CC(C)(C)C,0.0
[Co+2],1.0
CCCCCCCCCCCC(=O)OCC(O)CO,0.0
CCCCC=O,0.0
O=C(O)CCCC(=O)O,0.0
C=C(C#N)C(=O)OCC,0.0
CC(C)C(Br)C(=O)NC(N)=O,1.0
OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,0.0
CC(C)CCCC(C)NCCC(C)C,0.0
O=S(=O)([O-])CO,0.0
C=CCCCCCCCC,0.0
COC(=O)CC#N,0.0
CC(C)CCCCCCN,0.0
CC(C)NC(=O)NC(C)C,0.0
C=CCOCC(O)CO,0.0
C=CC(=O)OCCCCCCCC(C)C,0.0
CCCCC(CC)COC(=O)CC#N,0.0
CCCCN(CCCC)CCCC,0.0
O=NN(CCCl)C(=O)NCCCl,1.0
CCO[Si](OCC)(OCC)OCC,0.0
CC(C)CC(C)N,0.0
CCCCCCCCSCCO,0.0
O=C/C(Cl)=C(/Cl)C(=O)O,1.0
O=C(O)C(Cl)Cl,0.0
CCCCCC(=O)OCC,0.0
CCCCOC(C)=O,0.0
CCCCCCCCCCCCN,0.0
CCCCOP(=O)(OCCCC)OCCCC,0.0
CCC(C)(CCC(C)C)C(=O)O,0.0
C=CCSSCC=C,0.0
C=C(C)C(=O)O[Sn](CCCC)(CCCC)CCCC,1.0
CC(C)CCCC(C)(C)O,0.0
CCC/C=C/C=O,0.0
CCCOC(C)=O,0.0
Cl[Yb](Cl)Cl,0.0
C=CC(=O)OCCCCCCOC(=O)C=C,1.0
C=CC(C)(C)CC(=O)OC,0.0
C=CCCCC,0.0
C=C(C)C(=O)OCCCCCC,0.0
N=C(N)N.N=C(N)N.O=C(O)O,0.0
CCCCCCCCCCCCCCCCC(=O)O,0.0
NS(=O)(=O)O,0.0
[PbH2+2],1.0
CC(C)(C)N(CCO)CCO,0.0
